0	       category(v0, "Networking") 
1	      !wrote(v0, v1)  v !wrote(v0, v2)  v  category(v1, v3)  v !category(v2, v3) 
2	      !refers(v0, v1)  v  category(v0, v2)  v !category(v1, v2) 
3	      !refers(v0, v1)  v  category(v1, v2)  v !category(v0, v2) 
4	       category(v0, "InformationRetrieval") 
5	       category(v0, "HumanComputerInteraction") 
6	       category(v0, "ArtificialIntelligence") 
7	       category(v0, "Networking") 
8	       category(v0, "Databases") 
9	       category(v0, "Programming") 
10	       category(v0, "OperatingSystems") 
11	       category(v0, "DataStructuresAlgorithmsandTheory") 
12	       category(v0, "HardwareandArchitecture") 
13	       category(v0, "EncryptionandCompression") 
